country_code,subdivision_name,municipality,provider,static_url,realtime_url,min_lon,max_lon,min_lat,max_lat,uuid,tz_str,epsg_code
CA,British Columbia,Victoria,BC Transit (Victoria Regional Transit System),http://victoria.mapstrat.com/current/google_transit.zip,http://victoria.mapstrat.com/current/gtfrealtime_VehiclePositions.bin,-123.795435,-123.275822,48.33716,48.697757,b555d2ea-4c39-4e5f-b32d-2606984bd8ac,America/Vancouver,32610
CA,British Columbia,Squamish,BC Transit (Squamish),http://squamish.mapstrat.com/current/google_transit.zip,http://squamish.mapstrat.com/current/gtfrealtime_VehiclePositions.bin,-123.157502,-123.099042,49.696302,49.774333,89b53b6f-4a41-4d62-aa94-f3e8c25ce7a4,America/Vancouver,32610
CA,British Columbia,Whistler,BC Transit (Whistler Transit System),http://whistler.mapstrat.com/current/google_transit.zip,http://whistler.mapstrat.com/current/gtfrealtime_VehiclePositions.bin,-123.043635,-122.926836,50.077122,50.159071,9b81562e-6eb2-4879-88fe-99ba8b589ab1,America/Vancouver,32610
CA,British Columbia,Kelowna,BC Transit (Kelowna Regional Transit System),http://kelowna.mapstrat.com/current/google_transit.zip,http://kelowna.mapstrat.com/current/gtfrealtime_VehiclePositions.bin,-119.790038,-119.347167,49.751924,50.073517,7981582d-a9fa-46ac-8ae2-5267b7e5877b,America/Vancouver,32611
CA,British Columbia,Kamloops,BC Transit (Kamloops Transit System),http://kamloops.mapstrat.com/current/google_transit.zip,http://kamloops.mapstrat.com/current/gtfrealtime_VehiclePositions.bin,-120.42291,-120.078766,50.634135,50.860312,98d6df3e-efc9-47aa-8af8-f8296dc59de1,America/Vancouver,32610
CA,Alberta,Edmonton,Edmonton Transit System,https://gtfs.edmonton.ca/TMGTFSRealTimeWebService/GTFS/GTFS.zip,http://gtfs.edmonton.ca/TMGTFSRealTimeWebService/Vehicle/VehiclePositions.pb,-113.934884,-113.218139,53.302688,53.704407,8821b4e0-1519-47e9-9296-5023ba448f2b,America/Edmonton,32612
CA,Saskatchewan,Saskatoon,Saskatoon Transit,http://apps2.saskatoon.ca/app/data/google_transit.zip,http://apps2.saskatoon.ca/app/data/Vehicle/VehiclePositions.pb,-106.760746,-106.550137,52.078661,52.202189,ebc3adfc-61da-4949-bfa6-c4a718c689ef,America/Regina,32613
CA,Ontario,Hamilton,Hamilton Street Railway,http://googlehsrdocs.hamilton.ca/,https://opendata.hamilton.ca/GTFS-RT/GTFS_VehiclePositions.pb,-80.031354,-79.692514,43.156343,43.326073,b6215bd6-c5c1-4a41-b134-0170c097e83f,America/Toronto,32617
CA,Ontario,Mississauga,MiWay,https://www.miapp.ca/GTFS/google_transit.zip,https://www.miapp.ca/GTFS_RT/Vehicle/VehiclePositions.pb,-79.797795,-79.512874,43.469292,43.838069,79ce31a3-a45f-4f3c-8e77-06a98b8a92b7,America/Toronto,32617
CA,Ontario,Kingston,Kingston Transit,https://api.cityofkingston.ca/gtfs/gtfs.zip,https://api.cityofkingston.ca/gtfs-realtime/vehicleupdates.pb,-76.66738,-76.43906,44.2175,44.27897,ff54f4c6-c60a-4653-980a-12fd58bc484c,America/Toronto,32618
